allocation,n_configs,n_eff,n_eff_ci_lo,n_eff_ci_hi,mean_rho,mean_q,n_eff_q,n_nested,n_pairs
same_family_prompt,3,1.0842494484931884,1.0,1.2712774269363778,0.8834454811893995,1.0,1.0,3,3
same_family_temperature,3,1.0945183103964098,1.0,1.2855775853839666,0.870465880517553,1.0,1.0,3,3
same_family_size,3,1.2409479389962481,1.0732402928266422,1.5755027773464874,0.7087533673759822,0.993127147766323,1.004602991944764,2,3
cross_family,3,1.4264505858752166,1.2271343460595456,1.746549270906421,0.5515611370299632,0.975,1.0169491525423728,2,3
mixed_one_per_axis,3,1.1763944426834971,1.0,1.6041568452185317,0.7750825280832844,0.9789427506032026,1.014238042269188,1,3
